NZ_OGTW02000106.1_1|52|1452|-1|ID=1_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.359	WP_127094121.1 APC family permease [Lactococcus lactis]	100	99.8	0.0
NZ_OGTW02000106.1_2|1468|2490|-1|ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.375	WP_127094122.1 putrescine carbamoyltransferase [Lactococcus lactis]	100	99.7	3.99e-247
NZ_OGTW02000106.1_3|2724|3707|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.284	WP_014570678.1 MULTISPECIES: LuxR C-terminal-related transcriptional regulator [Lactococcus]	100	99.7	7.44e-223
NZ_OGTW02000106.1_4|3878|5281|-1|ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.357	WP_010906102.1 MULTISPECIES: LCP family protein [Lactococcus]	100	99.8	7.24e-259
NZ_OGTW02000106.1_5|5359|6021|-1|ID=1_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.341	WP_003130902.1 MULTISPECIES: (d)CMP kinase [Lactococcus]	100	99.5	6.66e-145
NZ_OGTW02000106.1_6|6103|6621|-1|ID=1_6;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.395	WP_127094123.1 SAG1386/EF1546 family surface-associated protein [Lactococcus lactis]	100	99.4	1.99e-86
NZ_OGTW02000106.1_7|6668|6871|1|ID=1_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343	WP_010906103.1 MULTISPECIES: ferredoxin [Lactococcus]	100	98.5	6.26e-43
NZ_OGTW02000106.1_8|7141|8130|1|ID=1_8;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.430	WP_127094124.1 PTS sugar transporter subunit IIB [Lactococcus lactis]	100	99.7	3.71e-226
NZ_OGTW02000106.1_9|8209|9021|1|ID=1_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.464	WP_003130897.1 MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Lactococcus]	100	99.6	1.49e-175
NZ_OGTW02000106.1_10|9040|9963|1|ID=1_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416	WP_003130896.1 MULTISPECIES: PTS system mannose/fructose/sorbose family transporter subunit IID [Lactococcus]	100	99.7	1.63e-218
NZ_OGTW02000106.1_11|10105|10488|1|ID=1_11;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.344	WP_003130895.1 MULTISPECIES: DUF956 family protein [Lactococcus]	100	99.2	2.75e-85
NZ_OGTW02000106.1_12|10513|11208|-1|ID=1_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.372	WP_003130894.1 MULTISPECIES: YitT family protein [Lactococcus]	100	99.6	1.83e-152
NZ_OGTW02000106.1_13|11358|11729|1|ID=1_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.349	WP_033899361.1 MULTISPECIES: DUF956 family protein [unclassified Lactococcus]	99.2	99.2	1.28e-79
