NZ_LQOO01000081.1_1|1|816|1|ID=1_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.701	WP_198417438.1 hypothetical protein, partial [Mycobacterium intracellulare]	100	99.6	6.01e-171
NZ_LQOO01000081.1_2|883|3534|1|ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.723	WP_014385288.1 MULTISPECIES: circularly permuted type 2 ATP-grasp protein [Mycobacterium]	100	99.9	0.0
NZ_LQOO01000081.1_3|3531|4214|-1|ID=1_3;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.680	WP_225336858.1 MULTISPECIES: DUF6629 family protein [Mycobacterium]	100	97.8	3.58e-147
NZ_LQOO01000081.1_4|4217|5272|-1|ID=1_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.669	WP_036456103.1 MULTISPECIES: zinc-binding metallopeptidase family protein [Mycobacterium]	100	99.7	7.84e-255
NZ_LQOO01000081.1_5|5265|6206|-1|ID=1_5;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.686	WP_020822994.1 MULTISPECIES: transglutaminase family protein [Mycobacterium]	100	99.7	3.20e-228
NZ_LQOO01000081.1_6|6305|6694|1|ID=1_6;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.703	WP_008258269.1 MULTISPECIES: MmcQ/YjbR family DNA-binding protein [Mycobacterium]	100	99.2	4.19e-90
NZ_LQOO01000081.1_7|6698|7765|-1|ID=1_7;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.750	WP_042912437.1 FUSC family protein [Mycobacterium intracellulare]	100	99.7	5.98e-236
NZ_LQOO01000081.1_8|7769|8200|-1|ID=1_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.671	WP_042912438.1 nitroreductase family deazaflavin-dependent oxidoreductase [Mycobacterium intracellulare]	100	99.3	8.12e-97
NZ_LQOO01000081.1_9|8304|10079|-1|ID=1_9;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.704	WP_008258272.1 MULTISPECIES: aspartate--tRNA ligase [Mycobacterium]	100	99.8	0.0
NZ_LQOO01000081.1_10|10229|11029|1|ID=1_10;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.728	WP_180831740.1 MULTISPECIES: oxidoreductase [Mycobacterium]	99.6	99.6	6.34e-191
NZ_LQOO01000081.1_11|11039|11536|1|ID=1_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.669	WP_020822999.1 MULTISPECIES: SRPBCC family protein [Mycobacterium]	100	99.4	9.40e-118
NZ_LQOO01000081.1_12|11546|12424|1|ID=1_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.666	WP_008258283.1 MULTISPECIES: KPN_02809 family neutral zinc metallopeptidase [Mycobacterium]	100	99.7	7.97e-207
NZ_LQOO01000081.1_13|12478|13362|-1|ID=1_13;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.672	WP_042912439.1 dihydrodipicolinate synthase family protein [Mycobacterium intracellulare]	100	99.7	3.95e-208
NZ_LQOO01000081.1_14|13399|14196|-1|ID=1_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.682	WP_042912441.1 aldolase [Mycobacterium intracellulare]	100	99.6	6.21e-186
