AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	Alyssa1	84.129	1027	145	18	8616	9634	1	1017	0.0	977	10038	11078
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	Alyssa1	87.417	604	71	3	2980	3579	5431	6033	0.0	689	10038	11078
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	Alyssa1	87.453	534	61	6	3924	4454	6345	6875	2.34e-175	610	10038	11078
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	Alyssa1	83.652	575	93	1	7476	8049	9780	10354	3.12e-154	540	10038	11078
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	Alyssa1	73.613	667	147	23	6009	6656	8328	8984	7.67e-61	230	10038	11078
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	Alyssa1	77.366	243	45	10	9775	10012	1098	1335	1.72e-32	135	10038	11078
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	Alyssa1	84.706	85	9	4	1521	1603	4053	4135	2.27e-16	82.4	10038	11078
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	Alyssa1	85.938	64	8	1	2118	2180	4563	4626	6.36e-12	67.6	10038	11078
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	WillG	83.460	1052	167	7	7315	8363	9339	10386	0.0	972	10038	10866
AP043817.1|EPIP|R1|core|batch=001|record=AP043817.1_Mycolicibacterium_crocinum_JCM_16369_DNA__complete_genome|start=1472591|end=1482628|strand=-1	WillG	80.607	593	101	11	9218	9800	476	1064	6.99e-126	446	10038	10866
